LEA Code,LEA Name,School Code,School Name,School Type,Ward,Accountability Framework,Framework Weight,Framework Points Earned,Framework Points Possible,Framework STAR Score,Framework STAR Rating,School Year
001,District of Columbia Public Schools,175,School-Within-School @ Goding,DCPS,6,Elementary School with Pre-Kindergarten,100,79,90,88,5,2019
001,District of Columbia Public Schools,202,Aiton Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,10,95,11,1,2019
001,District of Columbia Public Schools,203,Amidon-Bowen Elementary School,DCPS,6,Elementary School with Pre-Kindergarten,100,46,95,49,3,2019
001,District of Columbia Public Schools,204,Bancroft Elementary School @ Sharpe,DCPS,1,Elementary School with Pre-Kindergarten,100,83,100,83,5,2019
001,District of Columbia Public Schools,205,Barnard Elementary School,DCPS,4,Elementary School with Pre-Kindergarten,100,73,100,73,4,2019
001,District of Columbia Public Schools,206,Beers Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,37,95,39,2,2019
001,District of Columbia Public Schools,212,Brent Elementary School,DCPS,6,Elementary School with Pre-Kindergarten,100,65,80,81,5,2019
001,District of Columbia Public Schools,213,Brightwood Education Campus,DCPS,4,Elementary School with Pre-Kindergarten,57,65,100,65,4,2019
001,District of Columbia Public Schools,213,Brightwood Education Campus,DCPS,4,Middle School,43,47,100,47,3,2019
001,District of Columbia Public Schools,219,Bunker Hill Elementary School,DCPS,5,Elementary School with Pre-Kindergarten,100,30,85,35,2,2019
001,District of Columbia Public Schools,220,Burroughs Elementary School,DCPS,5,Elementary School with Pre-Kindergarten,100,59,95,62,4,2019
001,District of Columbia Public Schools,221,Burrville Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,58,95,61,4,2019
001,District of Columbia Public Schools,224,Cleveland Elementary School,DCPS,1,Elementary School with Pre-Kindergarten,100,49,100,49,3,2019
001,District of Columbia Public Schools,227,H.D. Cooke Elementary School,DCPS,1,Elementary School with Pre-Kindergarten,100,53,100,53,3,2019
