LEA_Code,LEA_Name,School_Code,School_Name,School_Type,Ward,STAR_Score,STAR_Rating,ObjectId
133,Maya Angelou PCS,101,Maya Angelou PCS - High School,Charter (Alternative),7,48.21,3,159
109,Cesar Chavez PCS for Public Policy,102,Cesar Chavez PCS for Public Policy - Parkside Middle School,Charter,7,35.63,2,33
109,Cesar Chavez PCS for Public Policy,109,Cesar Chavez PCS for Public Policy - Parkside High School,Charter,7,47.68,3,32
120,Friendship PCS,113,Friendship PCS - Southeast Academy,Charter,8,35.96,2,69
121,Hope Community PCS,114,Hope Community PCS - Tolson,Charter,5,51.4,3,81
124,Howard University Middle School of Mathematics and Science PCS,115,Howard University Middle School of Mathematics and Science PCS,Charter,1,34.53,2,83
129,KIPP DC PCS,116,KIPP DC - AIM Academy PCS,Charter,8,45.89,3,88
129,KIPP DC PCS,121,KIPP DC - WILL Academy PCS,Charter,6,59.22,3,156
151,Washington Latin PCS,125,Washington Latin PCS - Middle School,Charter,4,74.54,4,169
109,Cesar Chavez PCS for Public Policy,127,Cesar Chavez PCS for Public Policy - Chavez Prep,Charter,1,40.21,3,29
115,DC Prep PCS,130,DC Prep PCS - Edgewood Elementary School,Charter,5,68.5,4,41
121,Hope Community PCS,131,Hope Community PCS - Lamond,Charter,4,52.71,3,79
127,Ideal Academy PCS,134,Ideal Academy PCS,Charter,4,12.86,1,87
132,Mary McLeod Bethune Day Academy PCS,135,Mary McLeod Bethune Day Academy PCS,Charter,5,53.14,3,158
118,Early Childhood Academy PCS,138,Early Childhood Academy PCS,Charter,8,50.51,3,53
107,Bridges PCS,142,Bridges PCS,Charter,5,30.05,2,20
116,E.L. Haynes PCS,146,E.L. Haynes PCS - Middle School,Charter,1,48.87,3,47
109,Cesar Chavez PCS for Public Policy,153,Cesar Chavez PCS for Public Policy - Capitol Hill,Charter,6,36.31,2,28
144,Elsie Whitlow Stokes Community Freedom PCS,159,Elsie Whitlow Stokes Community Freedom PCS,Charter,5,49.75,3,165
125,Perry Street Preparatory PCS,161,Perry Street Preparatory PCS,Charter,5,55.49,3,85
126,IDEA PCS,163,IDEA PCS,Charter,7,27.43,2,86
135,Meridian PCS,165,Meridian PCS,Charter,1,58.12,3,160
138,Paul PCS,170,Paul PCS - Middle School,Charter,4,31.32,2,162
140,Roots PCS,173,Roots PCS,Charter,4,28.42,2,163
142,"SEED PCS of Washington, DC",174,SEED PCS of Washington DC,Charter,7,38.24,2,164
1,District of Columbia Public Schools,175,School-Within-School @ Goding,DCPS,6,88.55,5,137
152,Washington Mathematics Science Technology PCHS,178,Washington Mathematics Science Technology PCHS,Charter,5,33.89,2,171
108,Capital City PCS,182,Capital City PCS - Middle School,Charter,4,53.85,3,25
108,Capital City PCS,184,Capital City PCS - Lower School,Charter,4,52.32,3,24
120,Friendship PCS,186,Friendship PCS - Collegiate Academy,Charter,7,34.52,2,65
175,Somerset Preparatory Academy PCS,187,Somerset Preparatory Academy PCS,Charter,8,27.59,2,193
129,KIPP DC PCS,189,KIPP DC - KEY Academy PCS,Charter,7,50.15,3,91
129,KIPP DC PCS,190,KIPP DC - Lead Academy PCS,Charter,6,76.58,4,92
146,Thurgood Marshall Academy PCS,191,Thurgood Marshall Academy PCS,Charter,8,64.93,4,166
130,Latin American Montessori Bilingual PCS,193,Latin American Montessori Bilingual PCS,Charter,4,67.42,4,157
117,Eagle Academy PCS,195,Eagle Academy PCS - Congress Heights,Charter,8,16,1,51
115,DC Prep PCS,196,DC Prep PCS - Edgewood Middle School,Charter,5,68.53,4,44
174,Sela PCS,197,Sela PCS,Charter,4,63.27,4,192
149,Two Rivers PCS,198,Two Rivers PCS - 4th St,Charter,6,67.34,4,167
114,DC Bilingual PCS,199,DC Bilingual PCS,Charter,5,64.96,4,36
173,Ingenuity Prep PCS,200,Ingenuity Prep PCS,Charter,8,45.2,3,191
1,District of Columbia Public Schools,202,Aiton Elementary School,DCPS,7,43.85,3,1
1,District of Columbia Public Schools,203,Amidon-Bowen Elementary School,DCPS,6,36.53,2,2
1,District of Columbia Public Schools,204,Bancroft Elementary School @ Sharpe,DCPS,1,76.34,4,6
1,District of Columbia Public Schools,205,Barnard Elementary School,DCPS,4,66.46,4,7
1,District of Columbia Public Schools,206,Beers Elementary School,DCPS,7,35.32,2,8
153,City Arts & Prep PCS,210,City Arts & Prep PCS,Charter,5,34.11,2,172
1,District of Columbia Public Schools,212,Brent Elementary School,DCPS,6,65.64,4,11
1,District of Columbia Public Schools,213,Brightwood Education Campus,DCPS,4,59.87,3,14
129,KIPP DC PCS,214,KIPP DC - Spring Academy PCS,Charter,5,53.82,3,154
155,Achievement Preparatory Academy PCS,217,Achievement Preparatory Academy PCS - Wahler Place Elementary School,Charter,8,18.85,1,173
115,DC Prep PCS,218,DC Prep PCS - Benning Middle School,Charter,7,65.5,4,40
1,District of Columbia Public Schools,219,Bunker Hill Elementary School,DCPS,5,49.18,3,22
1,District of Columbia Public Schools,220,Burroughs Elementary School,DCPS,5,58.66,3,23
1,District of Columbia Public Schools,221,Burrville Elementary School,DCPS,7,31.72,2,26
138,Paul PCS,222,Paul PCS - International High School,Charter,4,49.23,3,161
1,District of Columbia Public Schools,224,Cleveland Elementary School,DCPS,1,47.37,3,34
1,District of Columbia Public Schools,227,H.D. Cooke Elementary School,DCPS,1,71.4,4,62
177,Lee Montessori PCS,228,Lee Montessori PCS,Charter,5,55.42,3,194
1,District of Columbia Public Schools,231,Drew Elementary School,DCPS,7,30.73,2,43
1,District of Columbia Public Schools,232,Eaton Elementary School,DCPS,3,88.24,5,54
179,Democracy Prep Congress Heights PCS,234,Democracy Prep Congress Heights PCS,Charter,8,10.07,1,195
