,Unnamed: 0_x,School_Code,STAR_Score_18,STAR_Rating_18,STAR_Score_19,STAR_Rating_19,STAR_Score_inc,STAR_Score_inc(%),STAR_Rating_inc,STAR_Rating_inc(%),Unnamed: 0_y,schoolname,level,schtype_raw_DC,Dist_Code,distname,pp_total_raw_DC_1819,pp_site_raw_DC_1819,pp_centshare_raw_DC_1819,schoolstloc_raw_DC_1819,enroll_raw_DC_1819,pp_total_raw_DC_1920,pp_site_raw_DC_1920,pp_centshare_raw_DC_1920,schoolstloc_raw_DC_1920,enroll_raw_DC_1920,pp_total_raw_DC_inc(%),pp_total_raw_DC_inc,pp_site_raw_DC_inc(%),pp_site_raw_DC_inc,pp_centshare_raw_DC_inc(%),pp_centshare_raw_DC_inc,schoolstloc_raw_DC_inc(%),schoolstloc_raw_DC_inc,enroll_raw_DC_inc(%),enroll_raw_DC_inc,diversity_Unnamed: 0,Ward,Total_Count_of_Students,diversity_At-Risk_(%),"diversity_Socieconomic_Diversity_Score,_2018-19_(%)","diversity_Socieconomic_Diversity_Score,_2016-17_(%)","diversity_Change_in_Socieconomic_Diversity_Score,_from_2016-17_to_2018-19_(percentage_points)",diversity_risk_level
0,1,102,35.63,2,38,2,-2.369999999999997,-0.0623684210526315,0,0.0,24,Cesar Chavez PCS for Public Policy - Parkside Middle School,3.0,Charter,109,Cesar Chavez PCS for Public Policy,27908.0,26083.0,1826.0,3488723.0,133.0,32651.0,32651.0,0.0,1642860.0,60.0,-0.145263544761263,-4743.0,-0.2011576980796913,-6568.0,inf,1826.0,1.1235668285794285,1845863.0,1.2166666666666668,73.0,41,7,133,75,25,28.41726541519165,-3.4172654151916504,4
1,2,109,47.68,3,40,2,7.68,0.1919999999999999,1,0.5,23,Cesar Chavez PCS for Public Policy - Parkside High School,4.0,Charter,109,Cesar Chavez PCS for Public Policy,28872.0,25912.0,2959.0,9171400.0,350.0,32651.0,32651.0,0.0,10725723.0,369.0,-0.1157391810358029,-3779.0,-0.2063949036782947,-6739.0,inf,2959.0,-0.1449154523196245,-1554323.0,-0.051490514905149,-19.0,40,7,360,66,34,37.32590675354004,-3.325906753540039,4
2,3,113,35.96,2,57,3,-21.04,-0.3691228070175438,-1,-0.3333333333333333,170,Friendship PCS - Southeast Elementary School,2.0,Charter,120,Friendship PCS,18680.0,15767.0,2913.0,6524625.0,411.0,19996.0,17167.0,2829.0,6493932.0,393.0,-0.0658131626325264,-1316.0,-0.0815518145278731,-1400.0,0.0296924708377519,84.0,0.0047264122876555,30693.0,0.0458015267175573,18.0,79,8,415,73,27,28.75226140022278,-1.7522614002227783,4
3,4,114,51.4,3,36,2,15.4,0.4277777777777778,1,0.5,179,Hope Community PCS - Tolson,3.0,Charter,121,Hope Community PCS,24434.0,21802.0,2633.0,10579680.0,465.0,21910.0,19256.0,2654.0,9838675.0,475.0,0.1151985394796897,2524.0,0.1322185292895721,2546.0,-0.007912584777694,-21.0,0.0753155277514503,741005.0,-0.0210526315789473,-10.0,96,5,485,60,40,46.167558431625366,-6.167558431625366,4
4,5,114,51.4,3,53,3,-1.6000000000000014,-0.030188679245283,0,0.0,179,Hope Community PCS - Tolson,3.0,Charter,121,Hope Community PCS,24434.0,21802.0,2633.0,10579680.0,465.0,21910.0,19256.0,2654.0,9838675.0,475.0,0.1151985394796897,2524.0,0.1322185292895721,2546.0,-0.007912584777694,-21.0,0.0753155277514503,741005.0,-0.0210526315789473,-10.0,96,5,485,60,40,46.167558431625366,-6.167558431625366,4
5,6,115,34.53,2,39,2,-4.469999999999999,-0.1146153846153845,0,0.0,180,Howard University Middle School of Mathematics and Science PCS,3.0,Charter,124,Howard University Middle School of Mathematics and Science PCS,24485.0,,,6505887.0,283.0,24982.0,,,6608610.0,291.0,-0.0198943239132175,-497.0,,,,,-0.0155438132981066,-102723.0,-0.0274914089347079,-8.0,98,1,286,47,47,45.32374143600464,1.676258563995361,3
6,7,116,45.89,3,61,4,-15.11,-0.2477049180327868,-1,-0.25,185,KIPP DC - AIM Academy PCS,3.0,Charter,129,KIPP DC PCS,19210.0,16782.0,2428.0,6663422.0,391.0,22301.0,18716.0,3586.0,8224895.0,413.0,-0.1386036500605354,-3091.0,-0.1033340457362684,-1934.0,-0.3229224762967094,-1158.0,-0.18984716522217,-1561473.0,-0.0532687651331719,-22.0,113,8,394,56,44,45.57640552520752,-1.5764055252075195,3
7,8,121,59.22,3,67,4,-7.780000000000001,-0.1161194029850746,-1,-0.25,202,KIPP DC - WILL Academy PCS,3.0,Charter,129,KIPP DC PCS,19991.0,17564.0,2428.0,5878416.0,328.0,21207.0,17622.0,3586.0,6405535.0,335.0,-0.0573395576932145,-1216.0,-0.003291340369992,-58.0,-0.3229224762967094,-1158.0,-0.0822911747418443,-527119.0,-0.0208955223880596,-7.0,128,6,337,46,46,38.4393036365509,7.560696363449097,3
8,9,125,74.54,4,75,4,-0.4599999999999937,-0.0061333333333332,0,0.0,234,Washington Latin PCS - Middle School,3.0,Charter,151,Washington Latin PCS,16829.0,16829.0,0.0,6069480.0,370.0,18664.0,18664.0,0.0,6904863.0,381.0,-0.0983176168024003,-1835.0,-0.0983176168024003,-1835.0,,0.0,-0.1209847320649228,-835383.0,-0.0288713910761154,-11.0,207,4,374,7,7,3.0386745929718018,3.9613254070281982,1
9,11,130,68.5,4,68,4,0.5,0.0073529411764705,0,0.0,31,DC Prep PCS - Edgewood Elementary School,2.0,Charter,115,DC Prep PCS,19194.0,15740.0,3453.0,7856871.0,451.0,19853.0,16603.0,3250.0,8151364.0,442.0,-0.0331939757215534,-659.0,-0.0519785580919111,-863.0,0.0624615384615385,203.0,-0.0361280639657363,-294493.0,0.0203619909502261,9.0,50,5,457,41,41,40.71588516235352,0.2841148376464844,3
