,schoolid_stateassigned,schoolname,level,schtype_raw_DC,distid_stateassigned,distname,year_1819,pp_total_raw_DC_1819,pp_site_raw_DC_1819,pp_centshare_raw_DC_1819,schoolstloc_raw_DC_1819,enroll_raw_DC_1819,year_1920,pp_total_raw_DC_1920,pp_site_raw_DC_1920,pp_centshare_raw_DC_1920,schoolstloc_raw_DC_1920,enroll_raw_DC_1920,pp_total_raw_DC_inc(%),pp_total_raw_DC_inc,pp_site_raw_DC_inc(%),pp_site_raw_DC_inc,pp_centshare_raw_DC_inc(%),pp_centshare_raw_DC_inc,schoolstloc_raw_DC_inc(%),schoolstloc_raw_DC_inc,enroll_raw_DC_inc(%),enroll_raw_DC_inc
0,233,Academy of Hope Adult PCS,,Charter,178,Academy of Hope Adult PCS,2018-2019,14478.0,,,6199570.0,463.0,2019-2020,14670.0,,,5566158.0,486.0,-0.013087934560327197,-192.0,,,,,0.11379698528140958,633412.0,-0.04732510288065839,-23.0
1,217,Achievement Preparatory Academy PCS - Wahler Place Elementary School,2.0,Charter,155,Achievement Preparatory Academy PCS,2018-2019,22085.0,18270.0,3815.0,7525500.0,375.0,2019-2020,19357.0,8764.0,10593.0,6333696.0,384.0,0.14093092937955265,2728.0,1.0846645367412142,9506.0,-0.6398565090153876,-6778.0,0.18816880380744516,1191804.0,-0.0234375,-9.0
2,1100,Achievement Preparatory Academy PCS - Wahler Place Middle School,3.0,Charter,155,Achievement Preparatory Academy PCS,2018-2019,17575.0,13403.0,4171.0,6951600.0,450.0,2019-2020,21630.0,10708.0,10922.0,6652869.0,361.0,-0.18747110494683306,-4055.0,0.25168098617855805,2695.0,-0.6181102362204725,-6751.0,0.044902582630140575,298731.0,0.24653739612188375,89.0
3,140,AppleTree Early Learning Center PCS - Columbia Heights,1.0,Charter,103,AppleTree Early Learning PCS,2018-2019,20263.0,16917.0,3346.0,2864400.0,154.0,2019-2020,21271.0,17668.0,3603.0,2409036.0,147.0,-0.04738846316581258,-1008.0,-0.042506225945211695,-751.0,-0.07132944768248684,-257.0,0.18902332717319292,455364.0,0.04761904761904767,7.0
4,3072,AppleTree Early Learning Center PCS - Douglas Knoll,1.0,Charter,103,AppleTree Early Learning PCS,2018-2019,19798.0,16453.0,3346.0,1566270.0,90.0,2019-2020,20762.0,17159.0,3603.0,1356805.0,89.0,-0.046430979674405126,-964.0,-0.04114458884550387,-706.0,-0.07132944768248684,-257.0,0.1543810643386485,209465.0,0.011235955056179803,1.0
5,3073,AppleTree Early Learning Center PCS - Lincoln Park,1.0,Charter,103,AppleTree Early Learning PCS,2018-2019,25514.0,22169.0,3346.0,1439400.0,60.0,2019-2020,24132.0,20529.0,3603.0,1207440.0,60.0,0.05726835736781033,1382.0,0.07988698913731795,1640.0,-0.07132944768248684,-257.0,0.1921089246670642,231960.0,0.0,0.0
6,1137,AppleTree Early Learning Center PCS - Oklahoma Avenue,1.0,Charter,103,AppleTree Early Learning PCS,2018-2019,21897.0,18551.0,3346.0,2994632.0,151.0,2019-2020,23159.0,19556.0,3603.0,2571591.0,149.0,-0.054492853750161885,-1262.0,-0.05139087748005722,-1005.0,-0.07132944768248684,-257.0,0.1645055531770021,423041.0,0.01342281879194629,2.0
7,1069,AppleTree Early Learning Center PCS - Parklands at THEARC,1.0,Charter,103,AppleTree Early Learning PCS,2018-2019,22693.0,19348.0,3346.0,1863828.0,92.0,2019-2020,23458.0,19855.0,3603.0,1778337.0,99.0,-0.03261147582914148,-765.0,-0.0255351296902544,-507.0,-0.07132944768248684,-257.0,0.04807356535909668,85491.0,-0.07070707070707072,-7.0
8,3068,BASIS DC PCS,4.0,Charter,168,BASIS DC PCS,2018-2019,12423.0,,,7754201.0,637.0,2019-2020,13047.0,,,8209920.0,640.0,-0.04782708668659463,-624.0,,,,,-0.0555083362566261,-455719.0,-0.004687499999999956,-3.0
9,289,Breakthrough Montessori PCS,2.0,Charter,189,Breakthrough Montessori PCS,2018-2019,22864.0,,,4043568.0,183.0,2019-2020,20575.0,,,4181625.0,225.0,0.1112515188335359,2289.0,,,,,-0.03301515559142676,-138057.0,-0.18666666666666665,-42.0
10,142,Bridges PCS,2.0,Charter,107,Bridges PCS,2018-2019,29446.0,,,11299100.0,412.0,2019-2020,28611.0,,,10810776.0,408.0,0.02918457935758978,835.0,,,,,0.04517011544777172,488324.0,0.009803921568627416,4.0
11,126,Briya PCS,,Charter,119,Briya PCS,2018-2019,16045.0,,,11300954.0,721.0,2019-2020,15232.0,,,11007405.0,739.0,0.05337447478991586,813.0,,,,,0.026668320099060505,293549.0,-0.024357239512855178,-18.0
12,1207,Capital City PCS - High School,4.0,Charter,108,Capital City PCS,2018-2019,26679.0,21687.0,4992.0,8361935.0,335.0,2019-2020,27133.0,22208.0,4925.0,8556576.0,336.0,-0.016732392289831588,-454.0,-0.023460014409221852,-521.0,0.013604060913705585,67.0,-0.0227475335928764,-194641.0,-0.0029761904761904656,-1.0
13,184,Capital City PCS - Lower School,2.0,Charter,108,Capital City PCS,2018-2019,27671.0,22493.0,5178.0,8361824.0,323.0,2019-2020,27133.0,22208.0,4925.0,8225518.0,323.0,0.01982825341834671,538.0,0.012833213256484122,285.0,0.051370558375634534,253.0,0.01657111442707926,136306.0,0.0,0.0
14,182,Capital City PCS - Middle School,3.0,Charter,108,Capital City PCS,2018-2019,25724.0,20910.0,4814.0,8062110.0,335.0,2019-2020,27133.0,22208.0,4925.0,8480178.0,333.0,-0.05192938488187815,-1409.0,-0.05844740634005763,-1298.0,-0.022538071065989818,-111.0,-0.04929943687502791,-418068.0,0.006006006006006093,2.0
15,1119,Carlos Rosario International PCS,,Charter,162,Carlos Rosario International PCS,2018-2019,13674.0,,,28989867.0,2139.0,2019-2020,14420.0,,,30628080.0,2124.0,-0.05173370319001391,-746.0,,,,,-0.053487290094579865,-1638213.0,0.007062146892655274,15.0
16,188,Cedar Tree Academy PCS,1.0,Charter,123,Cedar Tree Academy PCS,2018-2019,19581.0,,,6339940.0,359.0,2019-2020,22006.0,,,7165066.0,362.0,-0.110197218940289,-2425.0,,,,,-0.11515958122367609,-825126.0,-0.008287292817679592,-3.0
17,1103,Center City PCS - Brightwood,3.0,Charter,156,Center City PCS,2018-2019,19236.0,15423.0,3812.0,4511646.0,258.0,2019-2020,20691.0,16919.0,3773.0,5020938.0,258.0,-0.0703204291721038,-1455.0,-0.0884213014953602,-1496.0,0.010336602173336873,39.0,-0.10143363650377679,-509292.0,0.0,0.0
18,1104,Center City PCS - Capitol Hill,3.0,Charter,156,Center City PCS,2018-2019,17404.0,13852.0,3552.0,4143792.0,262.0,2019-2020,19320.0,15647.0,3673.0,4703140.0,260.0,-0.09917184265010348,-1916.0,-0.11471847638524957,-1795.0,-0.032943098284780814,-121.0,-0.11893075689858268,-559348.0,0.007692307692307665,2.0
19,1105,Center City PCS - Congress Heights,3.0,Charter,156,Center City PCS,2018-2019,17735.0,14288.0,3446.0,4015000.0,250.0,2019-2020,18723.0,15267.0,3456.0,4407984.0,252.0,-0.05276932115579769,-988.0,-0.06412523744023058,-979.0,-0.0028935185185184897,-10.0,-0.08915277369427843,-392984.0,-0.007936507936507908,-2.0
20,1106,Center City PCS - Petworth,3.0,Charter,156,Center City PCS,2018-2019,19735.0,15996.0,3739.0,4485250.0,250.0,2019-2020,20409.0,16657.0,3752.0,4890645.0,255.0,-0.03302464598951438,-674.0,-0.039683016149366646,-661.0,-0.0034648187633262717,-13.0,-0.08289192938763701,-405395.0,-0.019607843137254943,-5.0
