,state_x,year_x,distid_stateassigned_x,schoolid_stateassigned,distname_x,schoolname_x,ncesdistid_admin_x,ncesdistid_geo_x,census_id_x,ncesid_x,ncesenroll_x,gradespan_x,level_x,enroll_raw_DC_x,enrollmetric_x,pp_stloc_raw_DC_x,pp_fed_raw_DC_x,pp_total_raw_DC_x,pp_site_stloc_raw_DC_x,pp_site_fed_raw_DC_x,pp_site_raw_DC_x,pp_centshare_stloc_raw_DC_x,pp_centshare_fed_raw_DC_x,pp_centshare_raw_DC_x,schoolstloc_raw_DC_x,schoolfed_raw_DC_x,schooltot_raw_DC_x,pp_total_norm_NERDS_x,disttotwexclu_raw_DC_x,distexclu_raw_DC_x,schtype_raw_DC_x,ward_raw_DC_x,countenroll_x,noaudit_x,nositecen_x,adfinvars_x,distflex_x,flag_nerds_x,flag_f33_x,state_y,year_y,distid_stateassigned_y,distname_y,schoolname_y,ncesdistid_admin_y,ncesdistid_geo_y,census_id_y,ncesid_y,ncesenroll_y,gradespan_y,level_y,enroll_raw_DC_y,enrollmetric_y,pp_stloc_raw_DC_y,pp_fed_raw_DC_y,pp_total_raw_DC_y,pp_site_stloc_raw_DC_y,pp_site_fed_raw_DC_y,pp_site_raw_DC_y,pp_centshare_stloc_raw_DC_y,pp_centshare_fed_raw_DC_y,pp_centshare_raw_DC_y,schoolstloc_raw_DC_y,schoolfed_raw_DC_y,schooltot_raw_DC_y,pp_total_norm_NERDS_y,disttotwexclu_raw_DC_y,distexclu_raw_DC_y,schtype_raw_DC_y,ward_raw_DC_y,countenroll_y,noaudit_y,nositecen_y,adfinvars_y,distflex_y,flag_nerds_y,flag_f33_y
0,DC,2018-2019,178,233,Academy of Hope Adult PCS,Academy of Hope Adult PCS,,,,,,,,463,October Count Day,13390,1088,14478,,,,,,,6199570,503744,6703440,,7425427,721987,Charter,5,1,0,0,0,1,0,0,DC,2018-2019,178,Academy of Hope Adult PCS,Academy of Hope Adult PCS,,,,,,,,463,October Count Day,13390,1088,14478,,,,,,,6199570,503744,6703440,,7425427,721987,Charter,5,1,0,0,0,1,0,0
1,DC,2018-2019,155,217,Achievement Preparatory Academy PCS,Achievement Preparatory Academy PCS - Wahler Place Elementary School,1100072.0,1100072.0,,110007200473.0,375.0,PK-03,2.0,375,October Count Day,20068,2018,22085,16447,1823,18270,3621,195,3815,7525500,756750,8282016,21713.40216,21522338,5331797,Charter,8,1,0,0,0,1,0,0,DC,2018-2019,155,Achievement Preparatory Academy PCS,Achievement Preparatory Academy PCS - Wahler Place Elementary School,1100072.0,1100072.0,,110007200473.0,375.0,PK-03,2.0,375,October Count Day,20068,2018,22085,16447,1823,18270,3621,195,3815,7525500,756750,8282016,21713.40216,21522338,5331797,Charter,8,1,0,0,0,1,0,0
2,DC,2018-2019,155,1100,Achievement Preparatory Academy PCS,Achievement Preparatory Academy PCS - Wahler Place Middle School,1100072.0,1100072.0,,110007200405.0,450.0,04-08,3.0,450,October Count Day,15448,2126,17575,11493,1910,13403,3955,216,4171,6951600,956700,7908525,17203.40216,21522338,5331797,Charter,8,1,0,0,0,1,0,0,DC,2018-2019,155,Achievement Preparatory Academy PCS,Achievement Preparatory Academy PCS - Wahler Place Middle School,1100072.0,1100072.0,,110007200405.0,450.0,04-08,3.0,450,October Count Day,15448,2126,17575,11493,1910,13403,3955,216,4171,6951600,956700,7908525,17203.40216,21522338,5331797,Charter,8,1,0,0,0,1,0,0
3,DC,2018-2019,103,140,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Columbia Heights,1100054.0,1100054.0,,110005400304.0,154.0,PK-PK,1.0,154,October Count Day,18600,1663,20263,15626,1291,16917,2974,371,3346,2864400,256102,3120451,25366.55124,21139732,7363789,Charter,1,1,0,0,0,1,0,0,DC,2018-2019,103,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Columbia Heights,1100054.0,1100054.0,,110005400304.0,154.0,PK-PK,1.0,154,October Count Day,18600,1663,20263,15626,1291,16917,2974,371,3346,2864400,256102,3120451,25366.55124,21139732,7363789,Charter,1,1,0,0,0,1,0,0
4,DC,2018-2019,103,3072,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Douglas Knoll,1100054.0,1100054.0,,110005400447.0,90.0,PK-PK,1.0,90,October Count Day,17403,2396,19798,14429,2024,16453,2974,371,3346,1566270,215640,1781854,24901.55124,21139732,7363789,Charter,8,1,0,0,0,1,0,0,DC,2018-2019,103,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Douglas Knoll,1100054.0,1100054.0,,110005400447.0,90.0,PK-PK,1.0,90,October Count Day,17403,2396,19798,14429,2024,16453,2974,371,3346,1566270,215640,1781854,24901.55124,21139732,7363789,Charter,8,1,0,0,0,1,0,0
5,DC,2018-2019,103,3073,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Lincoln Park,1100054.0,1100054.0,,110005400448.0,60.0,PK-PK,1.0,60,October Count Day,23990,1524,25514,21016,1153,22169,2974,371,3346,1439400,91440,1530845,30617.55124,21139732,7363789,Charter,6,1,0,0,0,1,0,0,DC,2018-2019,103,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Lincoln Park,1100054.0,1100054.0,,110005400448.0,60.0,PK-PK,1.0,60,October Count Day,23990,1524,25514,21016,1153,22169,2974,371,3346,1439400,91440,1530845,30617.55124,21139732,7363789,Charter,6,1,0,0,0,1,0,0
6,DC,2018-2019,103,1137,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Oklahoma Avenue,1100054.0,1100054.0,,110005400435.0,151.0,PK-PK,1.0,151,October Count Day,19832,2064,21897,16858,1693,18551,2974,371,3346,2994632,311664,3306395,27000.55124,21139732,7363789,Charter,7,1,0,0,0,1,0,0,DC,2018-2019,103,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Oklahoma Avenue,1100054.0,1100054.0,,110005400435.0,151.0,PK-PK,1.0,151,October Count Day,19832,2064,21897,16858,1693,18551,2974,371,3346,2994632,311664,3306395,27000.55124,21139732,7363789,Charter,7,1,0,0,0,1,0,0
7,DC,2018-2019,103,1069,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Parklands at THEARC,1100054.0,1100054.0,,110005400517.0,92.0,PK-PK,1.0,92,October Count Day,20259,2434,22693,17285,2063,19348,2974,371,3346,1863828,223928,2087768,27796.55124,21139732,7363789,Charter,8,1,0,0,0,1,0,0,DC,2018-2019,103,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Parklands at THEARC,1100054.0,1100054.0,,110005400517.0,92.0,PK-PK,1.0,92,October Count Day,20259,2434,22693,17285,2063,19348,2974,371,3346,1863828,223928,2087768,27796.55124,21139732,7363789,Charter,8,1,0,0,0,1,0,0
8,DC,2018-2019,168,3068,BASIS DC PCS,BASIS DC PCS,1100083.0,1100083.0,,110008300443.0,637.0,05-12,4.0,637,October Count Day,12173,250,12423,,,,,,,7754201,159250,7913553,,10204485,2290932,Charter,2,1,0,0,0,1,1,1,DC,2018-2019,168,BASIS DC PCS,BASIS DC PCS,1100083.0,1100083.0,,110008300443.0,637.0,05-12,4.0,637,October Count Day,12173,250,12423,,,,,,,7754201,159250,7913553,,10204485,2290932,Charter,2,1,0,0,0,1,1,1
9,DC,2018-2019,189,289,Breakthrough Montessori PCS,Breakthrough Montessori PCS,1100104.0,1100104.0,,110010400507.0,183.0,PK-02,2.0,183,October Count Day,22096,769,22864,,,,,,,4043568,140727,4184160,23180.06557,6498143,2313983,Charter,4,1,0,0,0,1,0,0,DC,2018-2019,189,Breakthrough Montessori PCS,Breakthrough Montessori PCS,1100104.0,1100104.0,,110010400507.0,183.0,PK-02,2.0,183,October Count Day,22096,769,22864,,,,,,,4043568,140727,4184160,23180.06557,6498143,2313983,Charter,4,1,0,0,0,1,0,0
