,Unnamed: 0_x,CODE,SCHOOL_x,TEST_TAKERS,AVG_READING_SCORE,AVG_MATH_SCORE,AVG_TOTAL,Unnamed: 0_y,SCHOOL_y,ETHNICITY,N_GRADS,GRAD_PERCENTAGE,YEAR,Unnamed: 0,state_x,year_x,distid_stateassigned_x,schoolid_stateassigned,distname_x,schoolname_x,ncesdistid_admin_x,ncesdistid_geo_x,census_id_x,ncesid_x,ncesenroll_x,gradespan_x,level_x,enroll_raw_DC_x,enrollmetric_x,pp_stloc_raw_DC_x,pp_fed_raw_DC_x,pp_total_raw_DC_x,pp_site_stloc_raw_DC_x,pp_site_fed_raw_DC_x,pp_site_raw_DC_x,pp_centshare_stloc_raw_DC_x,pp_centshare_fed_raw_DC_x,pp_centshare_raw_DC_x,schoolstloc_raw_DC_x,schoolfed_raw_DC_x,schooltot_raw_DC_x,pp_total_norm_NERDS_x,disttotwexclu_raw_DC_x,distexclu_raw_DC_x,schtype_raw_DC_x,ward_raw_DC_x,countenroll_x,noaudit_x,nositecen_x,adfinvars_x,distflex_x,flag_nerds_x,flag_f33_x,state_y,year_y,distid_stateassigned_y,distname_y,schoolname_y,ncesdistid_admin_y,ncesdistid_geo_y,census_id_y,ncesid_y,ncesenroll_y,gradespan_y,level_y,enroll_raw_DC_y,enrollmetric_y,pp_stloc_raw_DC_y,pp_fed_raw_DC_y,pp_total_raw_DC_y,pp_site_stloc_raw_DC_y,pp_site_fed_raw_DC_y,pp_site_raw_DC_y,pp_centshare_stloc_raw_DC_y,pp_centshare_fed_raw_DC_y,pp_centshare_raw_DC_y,schoolstloc_raw_DC_y,schoolfed_raw_DC_y,schooltot_raw_DC_y,pp_total_norm_NERDS_y,disttotwexclu_raw_DC_y,distexclu_raw_DC_y,schtype_raw_DC_y,ward_raw_DC_y,countenroll_y,noaudit_y,nositecen_y,adfinvars_y,distflex_y,flag_nerds_y,flag_f33_y
0,5,402,Benjamin Banneker HS,82,551,552,1104.0,5,Benjamin Banneker HS,All,108,1.0,2019,47,DC,2018-2019,1,402,District of Columbia Public Schools,Benjamin Banneker High School,1100030.0,1100030.0,9200100130100.0,110003000153.0,482.0,09-12,4.0,482,October Count Day,15622,2169,17790,10244,671,10915,5377,1498,6875,7529804,1045458,8574985,19883.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Benjamin Banneker High School,1100030.0,1100030.0,9200100130100.0,110003000153.0,482.0,09-12,4.0,482,October Count Day,15622,2169,17790,10244,671,10915,5377,1498,6875,7529804,1045458,8574985,19883.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0
1,5,402,Benjamin Banneker HS,82,551,552,1104.0,5,Benjamin Banneker HS,All,113,1.0,2021,47,DC,2018-2019,1,402,District of Columbia Public Schools,Benjamin Banneker High School,1100030.0,1100030.0,9200100130100.0,110003000153.0,482.0,09-12,4.0,482,October Count Day,15622,2169,17790,10244,671,10915,5377,1498,6875,7529804,1045458,8574985,19883.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Benjamin Banneker High School,1100030.0,1100030.0,9200100130100.0,110003000153.0,482.0,09-12,4.0,482,October Count Day,15622,2169,17790,10244,671,10915,5377,1498,6875,7529804,1045458,8574985,19883.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0
2,5,402,Benjamin Banneker HS,206,557,553,1110.9708251953125,5,Benjamin Banneker HS,All,108,1.0,2019,47,DC,2018-2019,1,402,District of Columbia Public Schools,Benjamin Banneker High School,1100030.0,1100030.0,9200100130100.0,110003000153.0,482.0,09-12,4.0,482,October Count Day,15622,2169,17790,10244,671,10915,5377,1498,6875,7529804,1045458,8574985,19883.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Benjamin Banneker High School,1100030.0,1100030.0,9200100130100.0,110003000153.0,482.0,09-12,4.0,482,October Count Day,15622,2169,17790,10244,671,10915,5377,1498,6875,7529804,1045458,8574985,19883.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0
3,5,402,Benjamin Banneker HS,206,557,553,1110.9708251953125,5,Benjamin Banneker HS,All,113,1.0,2021,47,DC,2018-2019,1,402,District of Columbia Public Schools,Benjamin Banneker High School,1100030.0,1100030.0,9200100130100.0,110003000153.0,482.0,09-12,4.0,482,October Count Day,15622,2169,17790,10244,671,10915,5377,1498,6875,7529804,1045458,8574985,19883.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Benjamin Banneker High School,1100030.0,1100030.0,9200100130100.0,110003000153.0,482.0,09-12,4.0,482,October Count Day,15622,2169,17790,10244,671,10915,5377,1498,6875,7529804,1045458,8574985,19883.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0
4,6,436,Ron Brown College Preparatory High School,2,435,405,840.0,15,Ron Brown College Preparatory High School,All,n < 10,,2019,122,DC,2018-2019,1,436,District of Columbia Public Schools,Ron Brown College Preparatory High School,1100030.0,1100030.0,9200100130100.0,110003000512.0,261.0,09-12,4.0,261,October Count Day,25692,2852,28544,20314,1354,21669,5377,1498,6875,6705612,744372,7449926,30637.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Ron Brown College Preparatory High School,1100030.0,1100030.0,9200100130100.0,110003000512.0,261.0,09-12,4.0,261,October Count Day,25692,2852,28544,20314,1354,21669,5377,1498,6875,6705612,744372,7449926,30637.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0
5,6,436,Ron Brown College Preparatory High School,2,435,405,840.0,14,Ron Brown College Preparatory High School,All,42,0.7368421052631579,2021,122,DC,2018-2019,1,436,District of Columbia Public Schools,Ron Brown College Preparatory High School,1100030.0,1100030.0,9200100130100.0,110003000512.0,261.0,09-12,4.0,261,October Count Day,25692,2852,28544,20314,1354,21669,5377,1498,6875,6705612,744372,7449926,30637.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Ron Brown College Preparatory High School,1100030.0,1100030.0,9200100130100.0,110003000512.0,261.0,09-12,4.0,261,October Count Day,25692,2852,28544,20314,1354,21669,5377,1498,6875,6705612,744372,7449926,30637.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0
6,6,436,Ron Brown College Preparatory High School,57,429,410,839.2982177734375,15,Ron Brown College Preparatory High School,All,n < 10,,2019,122,DC,2018-2019,1,436,District of Columbia Public Schools,Ron Brown College Preparatory High School,1100030.0,1100030.0,9200100130100.0,110003000512.0,261.0,09-12,4.0,261,October Count Day,25692,2852,28544,20314,1354,21669,5377,1498,6875,6705612,744372,7449926,30637.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Ron Brown College Preparatory High School,1100030.0,1100030.0,9200100130100.0,110003000512.0,261.0,09-12,4.0,261,October Count Day,25692,2852,28544,20314,1354,21669,5377,1498,6875,6705612,744372,7449926,30637.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0
7,6,436,Ron Brown College Preparatory High School,57,429,410,839.2982177734375,14,Ron Brown College Preparatory High School,All,42,0.7368421052631579,2021,122,DC,2018-2019,1,436,District of Columbia Public Schools,Ron Brown College Preparatory High School,1100030.0,1100030.0,9200100130100.0,110003000512.0,261.0,09-12,4.0,261,October Count Day,25692,2852,28544,20314,1354,21669,5377,1498,6875,6705612,744372,7449926,30637.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Ron Brown College Preparatory High School,1100030.0,1100030.0,9200100130100.0,110003000512.0,261.0,09-12,4.0,261,October Count Day,25692,2852,28544,20314,1354,21669,5377,1498,6875,6705612,744372,7449926,30637.95544,1004073502,4214636,DCPS,7,1,0,0,0,1,0,0
8,7,442,Columbia Heights EC (CHEC),102,425,419,845.0,19,Columbia Heights EC (CHEC),All,220,0.8148148148148148,2019,60,DC,2018-2019,1,442,District of Columbia Public Schools,Columbia Heights Education Campus,1100030.0,1100030.0,9200100130100.0,110003000396.0,1320.0,06-12,4.0,1320,October Count Day,15918,2587,18505,10540,1090,11630,5377,1498,6875,21011760,3414840,24426586,20598.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Columbia Heights Education Campus,1100030.0,1100030.0,9200100130100.0,110003000396.0,1320.0,06-12,4.0,1320,October Count Day,15918,2587,18505,10540,1090,11630,5377,1498,6875,21011760,3414840,24426586,20598.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0
9,7,442,Columbia Heights EC (CHEC),102,425,419,845.0,19,Columbia Heights EC (CHEC),All,178,0.8018018018018018,2021,60,DC,2018-2019,1,442,District of Columbia Public Schools,Columbia Heights Education Campus,1100030.0,1100030.0,9200100130100.0,110003000396.0,1320.0,06-12,4.0,1320,October Count Day,15918,2587,18505,10540,1090,11630,5377,1498,6875,21011760,3414840,24426586,20598.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0,DC,2018-2019,1,District of Columbia Public Schools,Columbia Heights Education Campus,1100030.0,1100030.0,9200100130100.0,110003000396.0,1320.0,06-12,4.0,1320,October Count Day,15918,2587,18505,10540,1090,11630,5377,1498,6875,21011760,3414840,24426586,20598.95544,1004073502,4214636,DCPS,1,1,0,0,0,1,0,0
