,School_Code,STAR_Score_18,STAR_Rating_18,STAR_Score_19,STAR_Rating_19,STAR_Score_inc,STAR_Score_change,STAR_Rating_change
0,101,48.21,3,57,3,0,-0.15421052631578946,0.0
1,102,35.63,2,38,2,0,-0.06236842105263152,0.0
2,109,47.68,3,40,2,1,0.19199999999999995,0.5
3,113,35.96,2,57,3,-1,-0.36912280701754385,-0.33333333333333337
4,114,51.4,3,36,2,1,0.4277777777777778,0.5
5,114,51.4,3,53,3,0,-0.030188679245283012,0.0
6,115,34.53,2,39,2,0,-0.11461538461538456,0.0
7,116,45.89,3,61,4,-1,-0.24770491803278682,-0.25
8,121,59.22,3,67,4,-1,-0.11611940298507462,-0.25
9,125,74.54,4,75,4,0,-0.006133333333333213,0.0
10,127,40.21,3,28,2,1,0.43607142857142867,0.5
11,130,68.5,4,68,4,0,0.007352941176470562,0.0
12,131,52.71,3,41,3,0,0.285609756097561,0.0
13,134,12.86,1,10,1,0,0.28600000000000003,0.0
14,134,12.86,1,24,2,-1,-0.4641666666666667,-0.5
15,135,53.14,3,36,2,1,0.47611111111111115,0.5
16,135,53.14,3,49,3,0,0.08448979591836725,0.0
17,138,50.51,3,29,2,1,0.7417241379310344,0.5
18,142,30.05,2,40,3,-1,-0.24875000000000003,-0.33333333333333337
19,146,48.87,3,49,3,0,-0.0026530612244898277,0.0
20,153,36.31,2,31,2,0,0.17129032258064525,0.0
21,159,49.75,3,60,3,0,-0.17083333333333328,0.0
22,161,55.49,3,48,3,0,0.15604166666666663,0.0
23,161,55.49,3,70,4,-1,-0.2072857142857143,-0.25
24,163,27.43,2,43,3,-1,-0.36209302325581394,-0.33333333333333337
25,165,58.12,3,35,2,1,0.6605714285714286,0.5
26,165,58.12,3,47,3,0,0.2365957446808511,0.0
27,170,31.32,2,51,3,-1,-0.38588235294117645,-0.33333333333333337
28,173,28.42,2,34,2,0,-0.16411764705882348,0.0
29,174,38.24,2,55,3,-1,-0.30472727272727274,-0.33333333333333337
30,174,38.24,2,35,2,0,0.09257142857142853,0.0
31,175,88.55,5,88,5,0,0.006249999999999867,0.0
32,182,53.85,3,62,4,-1,-0.13145161290322582,-0.25
33,184,52.32,3,41,3,0,0.2760975609756098,0.0
34,186,34.52,2,45,3,-1,-0.2328888888888888,-0.33333333333333337
35,187,27.59,2,22,2,0,0.25409090909090915,0.0
36,187,27.59,2,18,1,1,0.5327777777777778,1.0
37,189,50.15,3,54,3,0,-0.0712962962962963,0.0
38,190,76.58,4,47,3,1,0.6293617021276596,0.33333333333333326
39,191,64.93,4,63,4,0,0.030634920634920793,0.0
40,193,67.42,4,72,4,0,-0.06361111111111106,0.0
41,195,16.0,1,32,2,-1,-0.5,-0.5
42,196,68.53,4,57,3,1,0.20228070175438595,0.33333333333333326
43,196,68.53,4,95,5,-1,-0.27863157894736845,-0.19999999999999996
44,197,63.27,4,66,4,0,-0.04136363636363627,0.0
45,198,67.34,4,61,4,0,0.10393442622950833,0.0
46,198,67.34,4,71,4,0,-0.05154929577464784,0.0
47,199,64.96,4,80,4,0,-0.18800000000000006,0.0
48,200,45.2,3,50,3,0,-0.09599999999999997,0.0
49,202,43.85,3,11,1,2,2.9863636363636363,2.0
50,203,36.53,2,49,3,-1,-0.2544897959183673,-0.33333333333333337
51,204,76.34,4,83,5,-1,-0.08024096385542168,-0.19999999999999996
52,205,66.46,4,73,4,0,-0.0895890410958905,0.0
53,206,35.32,2,39,2,0,-0.09435897435897433,0.0
54,210,34.11,2,7,1,1,3.8728571428571428,1.0
55,210,34.11,2,13,1,1,1.623846153846154,1.0
56,212,65.64,4,81,5,-1,-0.1896296296296296,-0.19999999999999996
57,213,59.87,3,65,4,-1,-0.07892307692307698,-0.25
