X,Y,OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,TOTAL_STUD,SSL,GIS_ID,WEB_URL,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,LONGITUDE,LATITUDE,SCHOOL_YEA,LEA_NAME,LEA_ID,SCHOOL_NAM,SCHOOL_ID,GRADES,MAR_ID,XCOORD,YCOORD,ZIPCODE,PK3,PK4,UN_CE,FACILITY_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-77.033997515858,38.9846107530876,1,Shepherd Elementary School,7800 14TH STREET NW,Elementary School,ES,Active,202-576-6140,361, ,dcps_313,http://www.shepherd-elementary.org,313,313,N,332,1932,79700,400,-77.03399523,38.98460328,2022-2023,District of Columbia Public Schools,1,Shepherd Elementary School,313,PK3-5th,256319,397054.62,146297.53,20012,32,36,,DGS_0296.0,{7FE4B29A-1DF3-429F-9C91-73A00C400A27},,,JLAY,2022/08/03 14:55:10+00
-77.0227972114971,38.9750503430188,2,Takoma Elementary School,7010 PINEY BRANCH ROAD NW,Elementary School,ES,Active,202-671-6050,468, ,dcps_3241,http://www.takomaec.us/,324,3241,Y,467,1976,119000,450,-77.02279493,38.97504287,2022-2023,District of Columbia Public Schools,1,Takoma Education Campus,324,PK3-8th,250934,398024.76,145235.93,20012,31,44,,DGS_0723.0,{5E091502-FCD3-4968-910A-F8005E3E5FC5},,,JLAY,2022/08/03 14:55:10+00
-77.0195805300924,38.9672920127715,3,Coolidge High School,6315 5TH STREET NW,High School,HS,Active,202-671-6080,346, ,dcps_455,http://www.coolidgeshs.org/,455,455,N,1240,1940,271300,1100,-77.01957835,38.96728457,2022-2023,District of Columbia Public Schools,1,Coolidge High School,455,9th-12th,294615,398303.3,144374.62,20012,,,7,DGS_0710.0,{99647003-C9F1-4CDF-A1AA-27BB371E6A0D},,,JLAY,2022/08/03 14:55:10+00
-77.0195805300924,38.9672920127715,4,Early College Academy at Coolidge High School,6315 5TH STREET NW,High School/Specialized,HS,Active,202-671-6080,547, ,dcps_456,http://www.coolidgeshs.org/,455,455,N,1240,1940,271300,1100,-77.01957835,38.96728457,2022-2023,District of Columbia Public Schools,1,Coolidge High School,455,9th-12th,294615,398303.3,144374.62,20012,,,,DGS_0710.0,{EC958C15-2B28-4E12-9768-2644131CC001},,,JLAY,2022/08/03 14:55:10+00
-77.019270024299,38.9668628214318,5,Ida B. Wells Middle School,405 SHERIDAN STREET NW,Middle School,MS,Active,202-671-0693,,,dcps_974,http://nms.sdmf.schoolfusion.us/,1071,,,,,,,-77.019268,38.966855,2022-2023,District of Columbia Public Schools,1,New North Middle School,1071,6th-8th,319880,398330.22,144326.94,20011,,,,N/A,{37F555C6-F48C-4553-BFB5-BF388EBD70F0},,,JLAY,2022/08/03 14:55:10+00
-77.0680394194031,38.9666350188107,6,Lafayette Elementary School,5701 BROAD BRANCH ROAD NW,Elementary School,ES,Active,202-282-0116,761, ,dcps_261,http://www.lafayettehsa.org,261,261,N,486,1931,113600,550,-77.06803712,38.96662755,2022-2023,District of Columbia Public Schools,1,Lafayette Elementary School,261,PK4-5th,294611,394103.71,144303.7,20015,,100,,DGS_0690.0,{E737D9C1-0603-4A25-B92F-68AFEFE6A536},,,JLAY,2022/08/03 14:55:10+00
-77.0192408841983,38.9658647394466,7,Whittier Elementary School,6201 5TH STREET NW,Elementary School,ES,Active,202-576-6156,341, ,dcps_338,http://www.whittierdc.org/,338,338,Y,517,1926,66600,600,-77.0192386,38.96585727,2022-2023,District of Columbia Public Schools,1,Whittier Education Campus,338,PK3-8th,294614,398332.71,144216.17,20011,28,26,,DGS_0706.0,{C75E506C-B65F-4525-8AA3-D2483CC5E34A},,,JLAY,2022/08/03 14:55:10+00
-77.0306911314805,38.9605431911924,8,Brightwood Elementary School,1300 NICHOLSON STREET NW,Elementary School,ES,Active,202-722-5670,755, ,dcps_213,http://www.brightwoodec.org/,213,213,Y,,,,,-77.03068885,38.96053573,2022-2023,District of Columbia Public Schools,1,Brightwood Education Campus,213,PK3-8th,294515,397340.19,143625.7,20011,39,49,,DGS_0270.0,{11A5F0E5-54BE-4247-8FA5-B72AAAE6455D},,,JLAY,2022/08/03 14:55:10+00
-76.9998848198793,38.9599796093501,9,LaSalle-Backus Elementary School,501 RIGGS ROAD NE,Elementary School,ES,Active,202-671-6340,369, ,dcps_264,http://www.lasallebackus.com/,264,264,N,406,1957,63000,425,-76.99988254,38.95997214,2022-2023,District of Columbia Public Schools,1,LaSalle-Backus Education Campus,264,PK3-8th,294489,400010.18,143562.69,20011,19,29,,DGS_0661.0,{252C3389-FA1E-4426-B22F-2D8E3BF06102},,,JLAY,2022/08/03 14:55:10+00
-77.0250738590133,38.9539761553136,10,Truesdell Elementary School,800 INGRAHAM STREET NW,Elementary School,ES,Active,202-576-6202,679, ,dcps_327,http://profiles.dcps.dc.gov/Truesdell+Education+Campus,327,327,N,471,1908,69600,450,-77.02507158,38.95396869,2022-2023,District of Columbia Public Schools,1,Truesdell Education Campus,327,PK3-8th,294497,397826.84,142896.55,20011,46,59,,DGS_0738.0,{1A917DFC-75C5-4684-BE50-818CA624FC3A},,,JLAY,2022/08/03 14:55:10+00
